date,Fund_A,Fund_B,Fund_C
2017-08-18,89737745,848788712.3596,668935211
2017-08-21,90347951,848788712.3596,669381892
2017-08-22,90748375,848788712.3596,677386540
2017-08-23,91311761,848788712.3596,673726928
2017-08-24,91822721,848788712.3596,673668008
2017-08-25,92040391,848788712.3596,675913087
2017-08-28,92448546,848788712.3596,678126469
2017-08-29,92448546,848788712.3596,679820947
2017-08-30,92883537,848788712.3596,683913325
2017-08-31,93633438,853528763.66914,691435662
2017-09-01,94371693,853528763.66914,693613221
2017-09-04,94141892,853528763.66914,693613221
2017-09-05,94141892,853528763.66914,690140538
2017-09-06,95657809,853528763.66914,704306863
2017-09-07,96112065,853528763.66914,712598334
2017-09-08,96112065,853528763.66914,726734146
2017-09-11,98089449,853528763.66914,731373429
2017-09-12,99617663,853528763.66914,735055771
2017-09-13,99952421,853528763.66914,735911191
2017-09-14,101211409,853528763.66914,733003740
2017-09-15,102018739,853528763.66914,735367300
2017-09-18,103333858,853528763.66914,735140961
2017-09-19,104419631,853528763.66914,743267476
2017-09-20,105726880,853528763.66914,743174698
2017-09-21,106680750,853528763.66914,766467364
2017-09-22,107843881,853528763.66914,766271871
2017-09-25,108976158,853528763.66914,765822766
2017-09-26,109690599,853528763.66914,765323883
2017-09-27,111879470,853528763.66914,768126568
2017-09-28,113243174,853528763.66914,767761139
2017-09-29,113932782,857543930.51106,775036378
2017-10-02,115517765,857543930.51106,776058013
2017-10-03,116682442,857543930.51106,776971900
2017-10-04,117799162,857543930.51106,778173621
2017-10-05,119263361,857543930.51106,783412316
2017-10-06,121020755,857543930.51106,782100777
2017-10-09,121245072,857543930.51106,784260391
